Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Barcode,Image Src,Gift Card,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Status
oban-small-cask-single-malt-scotch-whisky,Oban Little Bay Small Cask Single Malt Scotch Whisky,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"SCOTCH, SCOTLAND, WHISKY",TRUE,Size,750ml,PWM2730S,12,64.99,'088076179806,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/olc.png?v=1680909103,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/olc.png?v=1680909103,lb,active
old-par-12-year-old-blended-scotch-whisky,Old Parr 12 Year Old Blended Scotch Whisky,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"SCOTCH, SCOTLAND, WHISKY",TRUE,Size,750ml,PWM2729S,8,49.99,'088076174641,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/oldparr.png?v=1680905828,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/oldparr.png?v=1680905828,lb,active
collective-hazy-state,Collective Hazy State,CRAFT BEER GUILD,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"ALE, CANADA, CRAFT, IMPORTED, IPA",TRUE,Size,4pk 12oz cans,PBC2722S,2,12.99,'186360010122,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/coar.png?v=1680828182,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/coar.png?v=1680828182,lb,active
lagunitas-daytime-island-beats,Lagunitas Daytime Island Beats,CRAFT BEER GUILD,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,6pk 12oz cans,PBC2721S,2,11.99,'723830143067,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/libe.png?v=1680821956,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/libe.png?v=1680821956,lb,active
medusa-rapid-refresh,MedUSA Rapid Refresh,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, US, WHEAT ALE",TRUE,Size,4pk 16oz cans,PBA2720S,5,14.99,'850000165731,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/rapre.jpg?v=1680737238,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/rapre.jpg?v=1680737238,lb,active
exhibit-a-goody-two-shoes,Exhibit A Goody Two Shoes,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,4pk 16oz cans,PBA2719S,4,11.99,'0602938319126,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/exa.png?v=1680736865,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/exa.png?v=1680736865,lb,active
mighty-squirrel-lime-loteria,Mighty Squirrel Lime Loteria,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,4pk 16oz cans,PBA2717S,1,10.99,'051497311001,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/mslo.png?v=1680736285,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/mslo.png?v=1680736285,lb,active
mighty-squirrel-magic-rain-ipa,Mighty Squirrel Magic Rain,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,4pk 16oz cans,PBA2716S,-1,13.49,'051497311018,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/msmr.jpg?v=1680735831,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/msmr.jpg?v=1680735831,lb,active
mighty-squirrel-volare-indian-pilsner,Mighty Squirrel Volare Indian Pilsner,ATLANTIC,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"CRAFT, IPA, US",TRUE,Size,4pk 16oz cans,PBA2715S,0,13.49,'051497201371,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/msv.png?v=1680735266,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/msv.png?v=1680735266,lb,active
rocky-patel-12-year-cigar,Rocky Patel 12 Year Signature Collection Toro Cigar,ZALL & SONS,"Food, Beverages & Tobacco > Tobacco Products > Cigars",Cigars,CIGAR,FALSE,Size,1 cigar,PCZ2714S,13,19.99,'846261000119,,FALSE,,,lb,active
makers-mark-cask-strength-bourbon-whiskey,Maker's Mark Cask Strength Bourbon Whisky,HORIZON,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"US, WHISKEY",TRUE,Size,750ml,PWH2703S,5,59.99,'085246501221,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/mmcs.jpg?v=1680196570,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/mmcs.jpg?v=1680196570,lb,active
yamazaki-12-year-whisky,Yamazaki Single Malt 12 Year Whisky,HORIZON,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"JAPAN, WHISKY",TRUE,Size,750ml,PWH2702S,3,229.99,'088857001616,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/yam.png?v=1680195163,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/yam.png?v=1680195163,lb,active
modelo-oro-light-beer,Modelo Oro Light Beer,ATLAS,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",Beer,"IMPORTED, LAGER",TRUE,Size,12pk 12oz cans,PBA2701S,2,19.99,'033544001622,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/mo.png?v=1680044003,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Beer",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/mo.png?v=1680044003,lb,active
absolut-pear-vodka,Absolut Pears Vodka,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Vodka",Vodka,"SWEDEN, VODKA",TRUE,Size,750ml,PVM2699S,5,21.99,'835229001336,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/apv.png?v=1679617434,FALSE,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits",https://cdn.shopify.com/s/files/1/0585/9541/0074/products/apv.png?v=1679617434,lb,active
frenzy-sauvignon-blanc,Frenzy Sauvignon Blanc,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Wine,"NEW ZEALAND, SAUVIGNON BLANC, WHITE",TRUE,Size,750ml,PWM2698S,0,11.99,'720815120730,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/fsb.png?v=1679615866,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/fsb.png?v=1679615866,lb,active
wyoming-whiskey,Wyoming Whiskey,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Liquor & Spirits > Whiskey",Whiskey,"US, WHISKEY",TRUE,Size,750ml,PWM2695S,1,39.99,'819283010008,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/ww.png?v=1679615174,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/ww.png?v=1679615174,lb,active
high-noon-tequila-variety-pack,High Noon Tequila Variety Pack,MARTIGNETTI,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Flavored Alcoholic Beverages",Flavored Alcoholic Beverages,"HARD SELTZER, TEQUILA, US",TRUE,Size,8pk 12oz cans,PFM2692S,8,22.99,'085000036099,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/hnteq.png?v=1679613927,FALSE,,https://cdn.shopify.com/s/files/1/0585/9541/0074/products/hnteq.png?v=1679613927,lb,active
